bootstrap_replicate,bootstrap_statistic,n_contributing_bootstrap_clusters,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
4493,0.009494854730739799,34,19,12,27,156,210
4494,0.011389912189047249,34,20,11,25,117,144
4495,0.01867653353573761,34,20,8,22,154,324
4496,0.031385199192382564,34,19,7,22,80,206
4497,0.022190088435730074,34,23,8,19,74,118
4498,0.011260279381485133,34,22,10,22,102,126
4499,0.01610569766329195,34,22,10,22,107,134
4500,0.019035338834791107,34,22,11,23,104,116
4501,0.027288827996165547,34,21,7,20,92,182
4502,0.019964367089899675,34,24,8,18,117,156
4503,0.02254494136992749,34,20,9,23,123,212
4504,0.017169426310959152,34,23,9,20,92,128
4505,0.013007419893166033,34,22,8,20,72,120
4506,0.01802422624855364,34,24,7,17,64,100
4507,0.013883236779433317,34,21,7,20,115,298
4508,0.026962434115348072,34,23,9,20,108,132
4509,0.0088856194642212,34,23,8,19,130,208
4510,0.011715161461111453,34,21,10,23,126,162
4511,0.013695457079367278,34,22,9,21,131,220
4512,0.013268291193322367,34,21,8,21,110,196
4513,0.015952834583452022,34,25,8,17,89,98
4514,0.01520224508143319,34,19,11,26,158,264
4515,0.015179588540240208,34,23,6,17,78,148
4516,0.01259708012802127,34,23,7,18,72,144
4517,0.015019643884615078,34,24,8,18,112,192
4518,0.016121416841426074,34,24,8,18,110,146
4519,0.01599887834761137,34,22,9,21,109,174
4520,0.038485663473406845,34,16,10,28,116,220
4521,0.028911987047550897,34,22,7,19,119,234
4522,0.012843572990642895,34,21,11,24,134,176
4523,0.015767257076950758,34,25,8,17,79,88
4524,0.0165465708236185,34,22,10,22,122,162
4525,0.01545809208417434,34,20,10,24,159,266
4526,0.011833004776264311,34,22,8,20,104,188
4527,0.024302935711577323,34,21,10,23,153,216
4528,0.008560956746382749,34,24,10,20,118,118
4529,0.012202371110315656,34,22,9,21,81,108
4530,0.009627173719255762,34,19,9,24,167,356
4531,0.01753039757924002,34,23,7,18,81,126
4532,0.010825764268746783,34,24,9,19,108,120
4533,0.014034981924200024,34,22,10,22,129,162
4534,0.008655365256452614,34,21,10,23,138,174
4535,0.0182623338033576,34,22,9,21,80,124
4536,0.012380826133318017,34,20,8,22,131,276
4537,0.026347448467603576,34,20,10,24,114,180
4538,0.01291989973301904,34,24,10,20,96,96
4539,0.012838045945319732,34,24,8,18,93,126
4540,0.032270579540284824,34,20,9,23,137,242
4541,0.011617024477484597,34,20,10,24,110,216
4542,0.02100628206719138,34,20,9,23,116,232
4543,0.016774701103846656,34,22,6,18,66,180
4544,0.01378144997550099,34,20,10,24,144,216
4545,0.01215596866435234,34,22,10,22,109,136
4546,0.012060215707082114,34,23,9,20,141,198
4547,0.014608557522041293,34,20,10,24,137,258
4548,0.02368966570770263,34,26,6,14,76,124
4549,0.005123499495909855,34,20,7,21,124,272
4550,0.013318412133221408,34,22,10,22,82,100
4551,0.02737170582831805,34,18,10,26,108,188
4552,0.009422456592245526,34,19,8,23,92,196
4553,0.009319097412539099,34,23,8,19,98,134
4554,0.01401809376811769,34,21,10,23,93,126
4555,0.020256684522580372,34,24,7,17,85,136
4556,0.01505306587328465,34,23,7,18,74,122
4557,0.021440918362961126,34,20,9,23,112,190
4558,0.02099879675422709,34,20,9,23,102,162
