bootstrap_replicate,bootstrap_statistic,n_contributing_bootstrap_clusters,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
169,0.01925305467133874,44,33,10,23,111,150
170,0.004560822365843015,45,27,15,34,162,246
171,0.01669675449240319,45,29,9,26,81,172
172,0.02611974688440745,44,33,10,23,112,172
173,0.011391654548324123,41,29,15,32,124,142
174,0.01630855750538661,44,33,12,25,116,140
175,0.017013867525076908,45,32,10,24,93,156
176,0.027238006102195435,43,29,13,30,137,194
177,0.015995156242253908,44,30,10,26,116,202
178,0.026749341065560473,46,28,13,31,123,220
179,0.017939748040332132,41,28,12,30,111,218
180,0.02887578601255586,44,26,13,33,135,252
181,0.01299809424257714,43,26,16,36,161,230
182,0.018778739828000955,42,30,11,27,107,166
183,0.02254494136992749,42,28,12,30,148,234
184,0.01958688030847563,44,29,12,29,106,166
185,0.021760845610203514,44,29,13,30,131,176
186,0.014847457795809545,43,30,11,27,98,162
187,0.012899868562612285,46,27,11,30,143,290
188,0.022855172082087406,41,31,13,28,103,112
189,0.022229802724322123,45,29,15,32,154,172
190,0.016518568742527745,46,25,13,34,135,230
191,0.030254352993977274,44,29,12,29,124,178
192,0.008473595135592371,45,33,7,20,82,174
193,0.01683693623570337,45,30,12,28,91,128
194,0.016139021074853405,45,30,13,29,132,168
195,0.008808062344880352,45,26,12,32,117,230
196,0.009815554797416033,43,30,11,27,94,142
197,0.014564184468683891,45,25,15,36,159,266
198,0.013205498539321014,43,32,12,26,109,148
199,0.012509276362126731,45,31,11,26,113,162
200,0.016389718695735495,45,32,12,26,109,130
201,0.0118514097364842,43,25,14,35,142,236
202,0.020195851286851765,44,26,16,36,175,250
203,0.028352562794287238,42,27,12,31,135,228
204,0.009767747761333639,44,28,14,32,117,170
205,0.00930917513695204,44,30,14,30,103,118
206,0.017587163519936062,44,31,11,26,114,180
207,0.020156427582006406,45,28,12,30,120,202
208,0.012712316730337382,45,31,11,26,142,202
209,0.016496902126980757,42,32,11,25,86,104
210,0.014371796666544812,44,31,13,28,121,142
211,0.012673738646907753,45,31,11,26,142,240
212,0.016276857545742558,44,30,15,31,120,132
213,0.01725696758157738,42,30,11,27,111,178
214,0.027097977704760988,43,24,14,36,170,284
215,0.010245445005326231,46,27,13,32,129,196
216,0.013314934648694363,44,28,12,30,118,208
217,0.02000172669348404,46,28,15,33,146,182
218,0.01291920443551682,46,27,14,33,167,242
219,0.01590518734541995,42,29,10,27,109,218
220,0.01173120579880221,46,30,12,28,118,178
221,0.015068388050884424,43,29,8,25,94,242
222,0.01895415653784443,41,28,12,30,113,194
223,0.01166925176609539,44,31,14,29,129,138
224,0.013958337514029119,45,36,8,18,51,66
225,0.01068655342340872,43,28,14,32,124,166
226,0.02778046275050798,45,26,11,31,135,258
227,0.005973355423411139,43,26,12,32,108,216
228,0.017769788553976082,45,31,13,28,101,116
229,0.019807399135088555,44,27,15,34,124,158
230,0.02208168453537631,40,24,16,38,141,220
231,0.010673749499685525,43,29,12,29,110,162
232,0.01557534634563193,44,28,15,33,151,184
233,0.02522538633981164,46,27,13,32,144,196
234,0.014984365695823718,43,31,11,26,112,160
235,0.013873030142864878,44,31,11,26,116,182
236,0.021427505814324233,42,30,13,29,111,132
237,0.015963325824758814,44,29,13,30,137,238
238,0.013168465416061783,44,32,12,26,93,108
239,0.015195565934552284,45,28,13,31,129,192
240,0.012838045945319732,45,29,11,28,123,236
241,0.019869066362113087,44,26,13,33,177,338
242,0.010065538962291093,45,31,13,28,117,132
243,0.013923539074159295,44,32,10,24,120,196
244,0.012851572679382417,44,31,13,28,85,100
245,0.02368966570770263,45,33,9,22,100,226
246,0.015199021275964897,45,29,12,29,124,218
247,0.022298216456217608,44,24,14,36,159,324
248,0.007309878957517613,45,28,12,30,112,176
249,0.017050749857721655,45,30,13,29,133,166
250,0.01683693623570337,44,28,15,33,150,174
251,0.021768034534145317,43,27,12,31,153,298
252,0.012410313790881755,45,30,10,26,139,424
253,0.01498019802639746,45,32,11,25,113,178
254,0.012566267647879867,44,29,12,29,100,166
255,0.012304533842033075,43,30,13,29,121,184
256,0.01365447200900876,42,27,14,33,147,216
257,0.010463293516921292,46,26,13,33,124,212
258,0.013771189893261176,44,29,12,29,163,268
259,0.02096806229046412,42,28,11,29,111,202
260,0.024561023528232206,42,29,11,28,116,186
261,0.01980057066062957,45,31,12,27,94,130
262,0.022274550768460626,46,32,10,24,90,138
263,0.011114329730810224,43,30,11,27,102,182
264,0.016335552771324216,43,31,13,28,91,106
265,0.0250879341794809,45,28,10,28,107,200
266,0.012374694734128625,42,28,12,30,119,204
267,0.02171696958910889,45,27,14,33,158,232
268,0.009136094948344275,44,27,14,33,135,198
269,0.011259133361423687,42,25,13,34,152,282
270,0.015269543848261291,41,33,7,20,84,152
271,0.03022991628646502,46,27,11,30,153,310
272,0.02005830432740502,44,26,14,34,169,272
273,0.01995550160622663,46,31,10,25,126,212
274,0.006610517192213464,42,25,12,33,131,238
275,0.012282164958563865,42,30,14,30,107,128
276,0.014718133193612239,42,29,12,29,124,200
277,0.01775925349583702,42,29,15,32,102,126
278,0.020786003752316658,44,30,11,27,118,184
279,0.024672995269721013,40,26,12,32,133,264
280,0.013848243941236127,46,30,11,27,114,202
281,0.012797200360792446,46,30,11,27,121,234
282,0.020126794174014216,45,32,11,25,163,276
283,0.02122045704259301,45,30,13,29,131,176
284,0.019542838220268782,45,27,12,31,153,246
285,0.013868510905785107,45,30,12,28,109,194
286,0.018892760067793495,44,26,15,35,141,198
287,0.016562805567646714,46,32,12,26,105,126
288,0.014300761508085083,44,29,14,31,144,186
289,0.00937453517604682,44,32,12,26,91,118
290,0.026172429169717952,46,27,13,32,156,248
291,0.009699495503021682,44,31,12,27,116,202
292,0.013044195883077231,42,29,11,28,122,224
293,0.012404573265394146,43,31,10,25,146,264
294,0.013076759815666007,45,28,13,31,155,270
295,0.019477242069374415,42,29,14,31,117,148
296,0.012769459678378628,44,30,13,29,124,148
297,0.013164819305913539,44,32,12,26,96,114
298,0.018736905417095072,43,31,13,28,116,140
299,0.01401809376811769,43,29,11,28,110,162
300,0.015461762299012242,45,28,12,30,168,328
301,0.013693865041691913,43,31,11,26,141,300
302,0.02180211400939487,45,31,13,28,115,130
303,0.012402181134452434,45,29,11,28,114,174
304,0.02903484459228808,44,30,14,30,153,180
305,0.03017721579468427,41,27,12,31,118,210
306,0.020971182823577038,45,30,13,29,121,172
307,0.015507951232207086,45,31,12,27,154,232
308,0.012354349607750566,45,32,10,24,125,188
309,0.030227483061534725,45,29,13,30,144,216
310,0.017327091288410177,44,27,12,31,123,202
311,0.01948918808397094,45,28,12,30,106,180
312,0.020523213749995932,43,29,11,28,98,176
313,0.022292808336664038,42,30,12,28,95,122
314,0.007094295919259835,43,30,12,28,131,206
315,0.017262289090395996,45,27,13,32,141,198
316,0.00943679240090746,41,32,10,24,101,132
317,0.022153945075593623,45,32,10,24,121,166
318,0.01208714434455408,45,29,12,29,120,176
319,0.018516128384744826,46,30,13,29,130,168
320,0.017471910888762692,42,29,14,31,101,118
321,0.01814230356005619,40,31,11,26,96,128
322,0.02048675090096227,44,28,13,31,130,182
323,0.023666159866839717,45,30,13,29,112,136
324,0.022050672198520783,45,27,12,31,137,242
325,0.017945333941108275,44,29,14,31,135,180
326,0.014365696430868626,44,33,9,22,90,158
327,0.016498983447172003,43,30,13,29,123,174
328,0.011114329730810224,45,31,13,28,80,92
329,0.011477372464076332,44,28,15,33,133,154
330,0.014604533936830158,39,27,14,33,108,138
331,0.021914505623390167,44,27,13,32,146,230
332,0.019908016419630428,43,31,12,27,81,114
333,0.00824504037290754,44,33,10,23,116,158
334,0.015965937085718022,42,28,14,32,140,176
335,0.016280453944299,43,33,11,24,95,134
336,0.02451609964057324,45,26,11,31,130,310
337,0.019634383027764397,44,30,14,30,146,188
338,0.027976760811721353,45,32,11,25,103,176
339,0.01694003905194502,44,33,10,23,81,106
340,0.012851768544750286,46,29,12,29,135,242
341,0.01803753189561904,44,30,11,27,127,234
342,0.012282164958563865,44,27,13,32,112,188
343,0.017503157309933605,45,27,14,33,111,168
344,0.018900856442385622,46,31,12,27,107,158
345,0.012653592689452112,44,30,14,30,145,172
346,0.018585050885742145,41,29,9,26,74,134
347,0.02259131461315627,40,27,13,32,110,166
348,0.019467622764455267,45,31,9,24,117,216
349,0.014558810572128392,42,28,14,32,106,154
350,0.025616572076546502,44,26,12,32,176,370
351,0.015204816114149228,41,27,12,31,129,234
352,0.01250831710232339,45,29,15,32,135,156
353,0.01319856520660341,43,30,11,27,80,134
354,0.02039673299711879,45,30,10,26,94,152
355,0.01819897708654704,45,31,12,27,143,192
356,0.012115899568781688,45,32,12,26,125,164
357,0.011624131651517364,45,29,11,28,119,220
358,0.01215596866435234,45,32,12,26,107,146
359,0.03466488440736107,45,26,12,32,172,300
360,0.018055318016495292,44,31,13,28,95,116
361,0.016049793162583356,45,32,10,24,109,164
362,0.006975264683901555,44,32,12,26,104,146
363,0.024585518943301778,44,30,12,28,92,128
364,0.0069583451995720025,43,31,11,26,120,198
365,0.01528304317067361,45,29,11,28,116,190
366,0.02081510731868333,45,32,11,25,109,148
367,0.015632458272327156,43,30,13,29,107,128
368,0.02691059617016507,46,29,12,29,105,170
369,0.011962766405678345,44,29,13,30,101,128
370,0.02813440629302978,44,31,12,27,122,156
371,0.01284570769431051,46,30,12,28,127,196
372,0.024981244729658694,43,28,16,34,141,168
373,0.011574392770435971,44,30,12,28,116,144
374,0.012849523940546184,43,29,15,32,138,150
375,0.012051202588798049,45,31,12,27,107,134
376,0.012304533842033075,43,33,10,23,126,198
377,0.01811601464411932,44,30,12,28,98,148
378,0.01534002607584279,44,27,12,31,109,208
379,0.02201163509363198,45,32,11,25,141,168
380,0.004248524357899894,43,30,13,29,122,198
381,0.01985813702566623,44,30,14,30,140,182
382,0.009777099541568093,44,32,11,25,94,118
383,0.010030895728924166,46,26,14,34,199,404
384,0.004447068867129013,44,30,11,27,90,144
385,0.015124957622018126,43,31,10,25,95,138
386,0.020008017215296048,45,28,12,30,126,214
387,0.017916614303000733,42,29,10,27,100,174
388,0.021777396847206337,43,30,10,26,129,244
389,0.012532988752480795,45,27,11,30,135,296
390,0.013198606252291259,45,29,10,27,111,222
391,0.014677987561642784,44,31,12,27,125,176
392,0.011391654548324123,43,32,12,26,95,110
