bootstrap_replicate,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
4274,31,13,28,121,142
4275,25,12,33,113,220
4276,28,12,30,160,296
4277,28,11,29,132,264
4278,29,13,30,153,222
4279,30,11,27,106,166
4280,30,12,28,134,232
4281,29,14,31,126,146
4282,27,15,34,137,182
4283,27,10,29,110,214
4284,30,13,29,95,140
4285,29,12,29,118,178
4286,26,11,31,137,268
4287,25,15,36,123,198
4288,31,9,24,101,170
4289,28,12,30,141,258
4290,32,12,26,134,176
4291,30,11,27,160,254
4292,30,12,28,126,192
4293,28,10,28,92,156
4294,28,11,29,124,196
4295,30,11,27,104,200
4296,29,10,27,119,216
4297,32,10,24,97,138
4298,29,12,29,107,170
4299,32,12,26,132,174
4300,31,11,26,102,156
4301,33,9,22,65,110
4302,30,11,27,147,222
4303,30,11,27,157,250
4304,27,13,32,109,172
4305,28,14,32,123,174
4306,32,11,25,107,152
4307,29,12,29,164,260
4308,33,10,23,105,146
4309,31,11,26,101,154
4310,33,9,22,74,134
4311,30,14,30,146,182
4312,31,12,27,92,136
4313,28,11,29,117,192
4314,29,11,28,139,278
4315,30,11,27,82,130
4316,31,11,26,109,160
4317,31,9,24,107,222
4318,27,14,33,166,230
4319,25,15,36,159,252
4320,34,8,20,104,204
4321,29,12,29,135,244
4322,33,11,24,102,120
4323,28,12,30,138,222
4324,26,14,34,116,178
4325,28,12,30,119,194
4326,28,14,32,147,210
4327,26,16,36,153,192
4328,31,12,27,116,164
4329,30,12,28,109,142
4330,29,12,29,115,188
4331,30,13,29,128,158
4332,32,12,26,112,136
4333,31,13,28,99,114
4334,26,14,34,152,240
4335,31,11,26,114,174
4336,30,11,27,117,174
4337,26,14,34,168,258
4338,31,10,25,101,172
4339,30,12,28,87,114
4340,25,14,35,132,210
4341,31,8,23,89,158
4342,30,10,26,101,170
4343,31,10,25,102,186
4344,31,13,28,116,152
4345,28,11,29,105,198
4346,29,15,32,145,166
4347,31,12,27,98,126
4348,27,11,30,100,184
4349,29,16,33,132,144
4350,31,12,27,122,144
4351,29,13,30,114,182
4352,27,13,32,159,232
4353,31,10,25,126,238
4354,32,10,24,95,134
4355,32,13,27,118,124
4356,30,13,29,122,170
4357,26,13,33,178,278
4358,29,12,29,138,230
4359,29,13,30,153,204
4360,29,13,30,113,158
4361,34,9,21,87,132
4362,29,11,28,146,236
4363,32,9,23,118,274
4364,28,12,30,138,246
4365,26,10,30,140,290
4366,27,15,34,163,216
4367,31,11,26,122,170
4368,31,10,25,107,176
4369,31,10,25,103,186
4370,30,9,25,76,154
4371,32,14,28,134,134
4372,27,11,30,147,280
4373,26,14,34,110,176
4374,28,13,31,178,382
4375,33,13,26,120,120
4376,27,12,31,146,264
4377,27,11,30,167,364
4378,27,14,33,128,206
4379,31,11,26,97,136
4380,30,15,31,142,154
4381,31,11,26,93,140
4382,29,11,28,103,172
4383,26,13,33,152,254
4384,28,14,32,115,142
4385,29,12,29,117,198
4386,31,13,28,142,166
4387,33,9,22,101,162
4388,27,14,33,128,188
4389,26,13,33,142,226
4390,25,13,34,155,298
4391,30,10,26,97,172
4392,33,8,21,112,278
4393,27,13,32,125,174
4394,30,11,27,123,192
4395,30,14,30,122,140
4396,28,11,29,103,162
4397,28,12,30,100,196
4398,27,11,30,116,250
4399,31,14,29,142,154
4400,30,13,29,99,126
4401,29,12,29,119,170
4402,34,12,24,98,98
4403,28,13,31,131,238
4404,32,12,26,111,126
4405,30,13,29,130,184
4406,33,9,22,91,136
4407,32,12,26,121,136
4408,30,10,26,77,142
4409,32,9,23,102,306
4410,32,9,23,79,140
4411,31,10,25,85,156
4412,35,9,20,89,104
4413,30,11,27,119,188
4414,30,9,25,129,266
4415,30,9,25,130,288
4416,28,12,30,126,228
4417,31,12,27,87,108
4418,31,12,27,96,124
4419,31,11,26,97,142
4420,28,11,29,107,188
4421,24,12,34,120,252
4422,28,14,32,111,140
4423,30,13,29,124,162
4424,27,14,33,124,186
4425,30,13,29,147,204
4426,32,12,26,94,112
4427,28,12,30,109,182
4428,26,16,36,148,196
4429,31,10,25,115,198
4430,29,11,28,100,190
4431,27,16,35,164,194
4432,32,12,26,126,214
4433,33,9,22,83,134
4434,31,10,25,104,212
4435,32,12,26,135,174
4436,27,10,29,121,284
4437,27,13,32,144,220
4438,28,14,32,137,168
4439,31,11,26,106,166
4440,30,12,28,129,204
4441,26,14,34,130,208
4442,33,10,23,90,120
4443,29,13,30,110,160
4444,27,12,31,164,368
4445,32,8,22,60,126
4446,28,12,30,100,166
4447,27,11,30,146,290
4448,30,13,29,122,152
4449,30,10,26,74,136
4450,29,13,30,143,212
4451,30,12,28,140,202
4452,28,10,28,131,220
4453,27,15,34,138,194
4454,28,14,32,132,186
4455,27,16,35,117,138
4456,30,12,28,132,174
4457,31,10,25,101,170
4458,32,11,25,109,136
4459,32,12,26,87,108
4460,29,11,28,107,176
4461,29,14,31,121,166
4462,28,12,30,139,252
4463,28,10,28,108,232
4464,28,11,29,146,246
4465,26,13,33,145,266
4466,29,10,27,114,220
4467,34,10,22,92,116
4468,31,12,27,127,192
4469,28,12,30,107,214
4470,28,11,29,147,276
4471,31,11,26,121,184
4472,29,13,30,112,170
4473,32,11,25,94,124
4474,29,14,31,146,216
4475,29,16,33,142,148
4476,31,13,28,121,142
4477,25,16,37,134,182
4478,31,13,28,130,160
4479,28,11,29,121,210
4480,27,12,31,133,262
4481,33,10,23,108,156
4482,29,10,27,136,334
4483,31,8,23,129,316
4484,30,13,29,121,154
4485,28,13,31,109,164
4486,25,14,35,149,254
4487,34,10,22,81,102
4488,31,12,27,93,126
4489,33,11,24,88,100
4490,31,10,25,134,212
4491,33,9,22,56,98
4492,27,14,33,179,308
4493,27,11,30,125,242
4494,29,11,28,110,210
4495,31,13,28,112,124
4496,26,15,35,135,186
4497,30,10,26,96,144
4498,29,11,28,83,152
4499,31,13,28,133,172
4500,32,10,24,112,152
4501,28,11,29,127,262
4502,29,11,28,115,228
4503,30,13,29,119,146
4504,28,10,28,140,288
4505,27,13,32,140,208
4506,29,12,29,116,216
4507,30,13,29,92,122
4508,30,13,29,115,154
4509,28,14,32,142,202
4510,31,12,27,87,98
4511,32,9,23,99,206
4512,30,11,27,130,196
4513,26,15,35,177,322
4514,34,12,24,90,90
4515,28,14,32,162,234
4516,31,11,26,107,154
4517,27,15,34,168,240
4518,28,12,30,116,186
4519,27,12,31,159,296
4520,28,13,31,129,184
4521,28,15,33,145,202
4522,26,13,33,139,286
4523,30,13,29,125,152
4524,27,13,32,139,216
4525,24,16,38,162,246
4526,33,8,21,56,104
4527,32,10,24,105,160
4528,32,8,22,88,164
4529,30,12,28,111,172
4530,27,13,32,128,176
4531,31,12,27,140,188
4532,25,16,37,192,256
4533,30,12,28,90,110
4534,24,10,32,155,368
4535,31,11,26,112,166
4536,29,13,30,116,172
4537,30,15,31,145,178
4538,29,13,30,102,160
4539,29,10,27,105,214
4540,28,11,29,125,228
4541,30,10,26,92,134
4542,27,16,35,117,144
4543,31,15,30,118,118
4544,30,14,30,137,170
4545,32,13,27,105,114
4546,28,11,29,150,258
4547,29,11,28,141,244
4548,25,16,37,153,216
4549,32,9,23,118,228
4550,31,11,26,102,162
4551,32,12,26,132,196
4552,29,12,29,89,126
4553,32,12,26,140,220
4554,29,12,29,98,140
4555,29,12,29,134,206
4556,26,14,34,151,234
4557,31,13,28,115,130
4558,28,12,30,156,268
4559,28,14,32,134,178
4560,28,13,31,136,190
4561,30,12,28,124,172
4562,27,14,33,155,200
4563,29,12,29,119,178
4564,27,12,31,126,204
4565,30,12,28,138,238
4566,26,12,32,172,338
4567,29,14,31,145,202
4568,26,14,34,143,244
4569,28,13,31,87,118
4570,29,11,28,153,280
4571,29,11,28,140,274
4572,27,13,32,146,246
4573,27,14,33,137,188
4574,30,13,29,144,192
4575,26,14,34,190,320
4576,28,12,30,108,174
4577,30,11,27,106,154
4578,27,13,32,166,310
4579,28,10,28,106,238
4580,30,13,29,109,136
4581,32,9,23,100,184
4582,29,14,31,180,298
4583,28,10,28,142,282
4584,33,11,24,70,88
4585,28,12,30,128,190
4586,27,11,30,112,204
4587,32,10,24,100,180
4588,33,11,24,110,122
4589,29,15,32,127,148
4590,30,13,29,113,134
4591,30,13,29,113,158
4592,28,12,30,160,300
4593,31,10,25,100,160
4594,27,12,31,160,296
4595,29,13,30,152,218
4596,30,12,28,133,178
4597,27,13,32,126,208
4598,28,12,30,135,190
4599,27,13,32,183,312
4600,27,16,35,127,148
4601,30,14,30,116,140
4602,29,13,30,129,186
4603,29,14,31,123,150
4604,26,12,32,136,234
4605,30,12,28,139,178
4606,27,14,33,135,188
4607,28,12,30,180,294
4608,32,11,25,111,150
4609,28,11,29,114,192
4610,28,12,30,117,200
4611,29,14,31,128,164
4612,29,11,28,109,190
4613,27,12,31,128,186
4614,28,14,32,139,178
4615,29,12,29,108,160
4616,30,13,29,132,186
4617,29,14,31,137,164
4618,31,12,27,120,156
4619,29,12,29,125,176
4620,27,12,31,116,208
4621,30,13,29,120,174
4622,27,14,33,179,236
4623,31,11,26,99,152
4624,28,14,32,135,174
4625,31,11,26,126,174
4626,25,14,35,122,212
4627,29,10,27,127,218
4628,31,11,26,106,154
4629,32,9,23,84,142
4630,26,13,33,150,246
4631,32,12,26,83,104
4632,32,12,26,124,142
4633,32,11,25,100,154
4634,31,11,26,122,176
4635,31,11,26,93,144
4636,31,13,28,108,138
4637,31,13,28,101,122
4638,28,13,31,162,254
4639,30,13,29,123,138
4640,30,13,29,121,154
4641,27,12,31,121,198
4642,27,13,32,108,178
4643,30,11,27,103,178
4644,32,11,25,116,138
4645,31,13,28,103,118
4646,30,12,28,139,208
4647,28,9,27,135,364
4648,28,14,32,147,222
4649,32,10,24,102,158
4650,32,11,25,136,196
4651,33,12,25,95,104
4652,27,12,31,119,228
4653,31,12,27,118,162
4654,28,14,32,131,164
4655,31,10,25,130,226
4656,30,12,28,118,208
4657,26,15,35,132,198
4658,30,11,27,90,158
4659,29,10,27,82,152
4660,29,15,32,149,188
4661,30,14,30,108,116
4662,29,12,29,108,172
4663,29,12,29,124,186
4664,29,10,27,138,266
4665,28,11,29,151,268
4666,32,9,23,135,246
4667,32,10,24,96,156
4668,27,13,32,103,166
4669,27,15,34,135,180
4670,27,13,32,138,210
4671,28,11,29,133,280
4672,29,12,29,119,184
4673,32,11,25,99,144
4674,32,9,23,100,164
4675,32,11,25,82,112
4676,29,14,31,168,240
4677,28,12,30,140,236
4678,28,15,33,127,154
4679,25,14,35,176,330
4680,30,11,27,114,194
4681,27,12,31,165,346
4682,31,13,28,141,186
4683,31,11,26,100,144
4684,26,12,32,139,284
4685,31,11,26,94,138
4686,30,14,30,91,112
4687,33,9,22,58,100
4688,31,11,26,124,164
4689,28,13,31,157,256
4690,28,13,31,122,154
4691,28,14,32,143,176
4692,27,14,33,158,256
4693,32,10,24,104,158
4694,31,11,26,137,200
4695,30,11,27,107,182
4696,26,15,35,117,180
4697,33,11,24,87,96
4698,29,14,31,109,158
4699,28,11,29,126,210
4700,31,9,24,112,236
4701,30,12,28,102,138
4702,27,13,32,126,202
4703,26,15,35,135,210
4704,30,11,27,112,158
4705,30,9,25,81,158
4706,29,13,30,107,158
4707,25,14,35,149,236
4708,32,12,26,72,90
4709,30,11,27,141,244
4710,31,11,26,109,160
4711,32,11,25,112,154
4712,29,11,28,119,182
4713,30,13,29,153,222
4714,31,10,25,94,142
4715,30,12,28,165,234
4716,24,15,37,164,276
4717,30,13,29,126,180
4718,30,12,28,164,248
4719,32,11,25,117,162
4720,28,14,32,127,164
4721,28,10,28,115,214
4722,29,12,29,109,166
4723,29,12,29,108,168
4724,30,12,28,94,126
4725,30,13,29,152,206
4726,30,11,27,149,236
4727,29,12,29,114,194
4728,30,12,28,103,148
4729,30,11,27,131,216
4730,28,13,31,98,144
4731,28,12,30,102,166
4732,32,14,28,124,124
4733,32,10,24,100,158
4734,25,14,35,121,186
4735,31,12,27,112,172
4736,29,11,28,104,162
4737,29,12,29,143,264
4738,31,11,26,109,166
4739,31,11,26,123,190
4740,29,12,29,138,222
4741,29,10,27,137,244
4742,28,12,30,111,170
4743,27,12,31,129,230
4744,27,14,33,126,204
4745,25,12,33,119,250
4746,26,15,35,168,240
4747,31,13,28,114,138
4748,27,13,32,165,264
4749,29,10,27,91,164
4750,32,12,26,101,128
4751,28,14,32,128,164
4752,27,14,33,141,222
4753,27,12,31,134,250
4754,27,13,32,130,258
4755,28,12,30,110,188
4756,28,12,30,131,188
4757,28,14,32,134,222
4758,29,12,29,121,208
4759,30,11,27,124,192
4760,28,14,32,183,252
4761,28,13,31,170,312
4762,29,12,29,128,212
4763,28,12,30,117,194
4764,28,12,30,115,190
4765,29,11,28,82,152
4766,28,13,31,146,224
4767,31,11,26,92,142
4768,31,11,26,103,162
4769,32,10,24,111,176
4770,31,11,26,83,122
4771,30,13,29,136,174
4772,28,12,30,129,240
4773,30,12,28,101,140
4774,29,11,28,128,210
4775,32,10,24,74,98
4776,29,14,31,149,206
4777,31,12,27,104,128
4778,32,11,25,103,130
4779,26,10,30,117,230
4780,28,15,33,149,180
4781,30,12,28,151,258
4782,30,13,29,90,120
4783,34,8,20,89,152
4784,30,12,28,138,204
4785,33,10,23,86,122
4786,26,13,33,146,244
4787,28,13,31,142,252
4788,29,14,31,132,152
4789,27,13,32,148,222
4790,29,11,28,114,206
4791,26,12,32,109,180
4792,28,13,31,152,220
4793,29,12,29,116,178
4794,30,13,29,115,148
4795,28,15,33,129,156
4796,27,12,31,151,296
4797,25,13,34,155,286
4798,29,9,26,139,432
4799,27,12,31,110,190
4800,32,10,24,102,132
4801,29,11,28,125,224
4802,29,12,29,122,202
4803,24,12,34,132,262
4804,31,11,26,122,182
4805,27,14,33,156,232
4806,29,13,30,163,250
4807,31,11,26,107,164
4808,30,13,29,139,184
4809,32,11,25,73,100
4810,30,12,28,106,160
4811,29,15,32,133,154
4812,27,10,29,135,288
4813,27,12,31,117,276
4814,32,12,26,108,126
4815,28,15,33,123,180
4816,30,13,29,125,166
4817,28,13,31,136,192
4818,30,13,29,113,160
4819,32,12,26,93,108
4820,27,13,32,149,260
4821,32,13,27,107,116
4822,30,11,27,128,236
4823,30,13,29,142,196
4824,28,14,32,133,176
4825,27,16,35,106,124
4826,31,8,23,92,206
4827,31,9,24,99,210
4828,26,13,33,146,240
4829,28,12,30,127,190
4830,31,12,27,127,166
4831,28,10,28,108,214
4832,29,13,30,142,238
4833,31,12,27,111,132
4834,27,15,34,130,166
4835,27,12,31,143,274
4836,29,13,30,136,188
4837,29,14,31,124,154
4838,33,12,25,85,94
4839,30,11,27,162,252
4840,31,12,27,103,142
4841,29,12,29,124,190
4842,32,12,26,109,130
4843,29,12,29,103,138
4844,29,12,29,94,130
4845,30,14,30,113,134
4846,27,10,29,84,188
4847,32,9,23,103,188
4848,29,12,29,130,214
4849,31,11,26,118,184
4850,31,12,27,88,112
4851,26,12,32,142,242
4852,29,12,29,137,236
4853,27,14,33,139,196
4854,29,14,31,146,174
4855,27,12,31,120,216
4856,29,12,29,121,166
4857,26,13,33,143,242
4858,29,14,31,136,166
4859,27,13,32,121,202
4860,30,13,29,162,198
4861,30,12,28,109,162
4862,31,13,28,117,138
4863,32,10,24,95,152
4864,33,11,24,93,108
4865,31,12,27,131,182
4866,30,11,27,111,162
4867,29,9,26,70,190
4868,30,11,27,135,190
4869,32,11,25,69,94
4870,30,12,28,140,246
4871,29,10,27,118,236
4872,27,14,33,138,194
4873,30,11,27,75,116
4874,29,11,28,119,206
4875,28,12,30,101,166
4876,29,12,29,118,160
4877,27,13,32,153,288
4878,30,11,27,89,150
4879,26,11,31,118,228
4880,30,9,25,119,244
4881,29,11,28,109,216
4882,30,13,29,112,142
4883,29,10,27,143,300
4884,30,13,29,124,160
4885,32,10,24,115,168
4886,28,16,34,131,146
4887,28,12,30,129,204
4888,30,10,26,144,260
4889,25,11,32,174,422
4890,32,10,24,153,240
4891,27,15,34,168,246
4892,32,14,28,90,90
4893,30,13,29,131,170
4894,30,11,27,123,204
4895,22,11,35,131,308
4896,28,10,28,123,272
4897,31,13,28,102,126
4898,30,13,29,177,264
4899,28,11,29,124,218
4900,29,10,27,125,326
4901,29,11,28,146,274
4902,29,14,31,112,182
4903,26,13,33,131,248
4904,30,12,28,144,248
4905,25,14,35,139,226
4906,28,13,31,139,206
4907,23,13,36,144,310
4908,33,12,25,110,116
4909,30,14,30,120,150
4910,31,12,27,116,152
4911,29,11,28,101,174
4912,28,16,34,118,142
4913,27,11,30,103,204
4914,30,12,28,110,166
4915,31,14,29,146,152
4916,32,12,26,83,98
4917,30,14,30,103,112
4918,32,10,24,87,132
4919,30,13,29,142,182
4920,34,10,22,63,84
4921,29,12,29,132,174
4922,28,11,29,146,248
4923,30,15,31,142,154
4924,25,12,33,136,246
4925,32,10,24,84,142
4926,30,13,29,154,266
4927,31,10,25,116,284
4928,30,10,26,109,234
4929,29,12,29,135,186
4930,33,11,24,134,158
4931,32,9,23,78,130
4932,26,14,34,157,238
4933,32,13,27,117,132
4934,32,11,25,129,180
4935,25,12,33,204,396
4936,26,13,33,147,342
4937,32,13,27,120,126
4938,28,13,31,106,168
4939,28,12,30,168,322
4940,29,12,29,114,174
4941,26,15,35,151,214
4942,30,14,30,138,156
4943,31,14,29,115,130
4944,30,12,28,113,176
4945,32,12,26,100,118
4946,30,13,29,106,136
4947,28,11,29,131,240
4948,31,12,27,99,126
4949,29,12,29,147,242
4950,30,12,28,142,214
4951,28,13,31,127,192
4952,27,16,35,139,190
4953,28,13,31,136,196
4954,30,9,25,78,162
4955,29,13,30,158,236
4956,30,13,29,141,180
4957,27,15,34,183,264
4958,27,12,31,112,196
4959,31,13,28,124,142
4960,27,13,32,100,172
4961,28,12,30,133,248
4962,27,12,31,119,230
4963,28,14,32,123,168
4964,32,12,26,146,212
4965,31,13,28,114,132
4966,30,11,27,122,192
4967,28,11,29,166,404
4968,27,11,30,113,246
4969,29,12,29,113,218
4970,30,14,30,120,144
4971,29,10,27,90,230
4972,28,12,30,128,188
4973,28,11,29,142,256
4974,34,10,22,98,116
4975,31,11,26,103,202
4976,31,10,25,101,208
4977,28,14,32,147,198
4978,32,12,26,115,136
4979,31,11,26,106,172
4980,29,14,31,124,172
4981,27,11,30,158,350
4982,30,12,28,102,156
4983,31,11,26,93,130
4984,29,13,30,134,170
4985,29,13,30,79,110
4986,31,12,27,112,172
4987,31,11,26,109,154
4988,28,11,29,123,188
4989,31,11,26,78,114
4990,31,12,27,91,112
4991,29,16,33,115,130
4992,31,11,26,101,152
4993,32,11,25,98,144
4994,29,11,28,116,218
4995,30,13,29,88,118
4996,29,13,30,99,130
4997,30,12,28,163,264
4998,28,12,30,121,216
4999,29,14,31,141,186
