bootstrap_replicate,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
3545,26,15,35,143,188
3546,30,14,30,114,122
3547,30,12,28,81,114
3548,31,12,27,78,96
3549,26,13,33,163,284
3550,30,13,29,96,134
3551,31,12,27,105,144
3552,33,11,24,84,102
3553,29,12,29,91,142
3554,29,8,25,80,192
3555,31,10,25,80,128
3556,27,14,33,158,250
3557,32,12,26,108,132
3558,32,10,24,85,130
3559,29,13,30,122,182
3560,30,11,27,110,190
3561,28,12,30,102,176
3562,34,10,22,111,126
3563,29,14,31,125,152
3564,29,13,30,185,284
3565,31,12,27,130,174
3566,26,16,36,183,264
3567,28,11,29,142,244
3568,29,12,29,121,262
3569,29,12,29,146,256
3570,27,12,31,102,176
3571,29,12,29,119,178
3572,30,13,29,142,172
3573,30,11,27,134,218
3574,28,12,30,152,282
3575,26,14,34,130,206
3576,30,10,26,122,214
3577,31,13,28,133,154
3578,31,12,27,113,138
3579,30,10,26,119,182
3580,32,10,24,95,140
3581,31,13,28,96,114
3582,27,13,32,107,180
3583,32,11,25,108,162
3584,30,13,29,125,170
3585,30,10,26,61,106
3586,29,12,29,102,164
3587,31,10,25,111,194
3588,31,10,25,89,146
3589,29,13,30,142,254
3590,28,13,31,152,304
3591,30,11,27,104,184
3592,31,10,25,117,298
3593,30,14,30,134,146
3594,30,13,29,140,188
3595,26,15,35,142,208
3596,28,12,30,106,196
3597,29,12,29,100,196
3598,32,13,27,107,116
3599,28,15,33,133,158
3600,29,15,32,127,142
3601,29,14,31,145,196
3602,28,13,31,124,170
3603,30,8,24,72,174
3604,28,12,30,138,240
3605,29,12,29,128,232
3606,28,14,32,136,194
3607,34,9,21,89,122
3608,27,14,33,111,170
3609,34,11,23,122,152
3610,25,12,33,184,542
3611,32,11,25,72,94
3612,29,15,32,137,164
3613,28,13,31,181,286
3614,29,13,30,131,186
3615,29,13,30,146,218
3616,30,14,30,153,174
3617,29,11,28,123,250
3618,30,13,29,107,140
3619,28,12,30,130,248
3620,31,14,29,114,126
3621,28,15,33,114,144
3622,24,16,38,133,226
3623,30,13,29,107,134
3624,26,12,32,99,168
3625,27,15,34,100,136
3626,28,13,31,149,224
3627,27,15,34,171,240
3628,27,11,30,96,178
3629,28,13,31,143,208
3630,28,13,31,113,168
3631,28,12,30,125,228
3632,34,10,22,101,140
3633,27,14,33,103,146
3634,28,12,30,90,142
3635,28,11,29,108,174
3636,28,12,30,163,318
3637,26,13,33,102,214
3638,31,13,28,106,118
3639,28,12,30,123,198
3640,27,11,30,107,240
3641,30,12,28,132,200
3642,27,12,31,131,214
3643,30,10,26,98,172
3644,30,9,25,124,232
3645,31,10,25,92,154
3646,28,13,31,117,202
3647,28,11,29,95,180
3648,30,9,25,79,154
3649,30,11,27,126,204
3650,30,12,28,152,274
3651,29,11,28,99,176
3652,29,11,28,158,274
3653,29,12,29,166,262
3654,32,10,24,68,98
3655,29,9,26,89,182
3656,32,11,25,92,128
3657,31,11,26,125,182
3658,30,13,29,139,184
3659,31,12,27,105,138
3660,27,13,32,105,164
3661,30,13,29,114,144
3662,29,11,28,145,244
3663,30,12,28,141,262
3664,29,12,29,110,164
3665,32,8,22,88,220
3666,28,13,31,103,180
3667,27,13,32,162,284
3668,28,11,29,130,270
3669,30,14,30,159,198
3670,29,12,29,121,228
3671,26,13,33,147,256
3672,33,9,22,107,214
3673,27,13,32,122,180
3674,32,10,24,135,216
3675,31,10,25,131,262
3676,29,14,31,122,166
3677,28,11,29,130,220
3678,28,17,35,157,166
3679,31,11,26,109,160
3680,27,13,32,136,214
3681,30,14,30,138,168
3682,27,15,34,133,184
3683,31,11,26,96,120
3684,29,12,29,116,182
3685,27,12,31,119,190
3686,31,9,24,98,236
3687,26,11,31,131,262
3688,28,12,30,129,200
3689,31,13,28,137,182
3690,29,13,30,102,138
3691,29,14,31,168,204
3692,31,10,25,80,134
3693,25,14,35,151,302
3694,28,17,35,133,136
3695,33,13,26,140,140
3696,30,14,30,99,120
3697,29,11,28,104,180
3698,27,13,32,129,214
3699,33,8,21,85,126
3700,29,15,32,152,194
3701,31,10,25,95,170
3702,29,12,29,119,164
3703,30,11,27,147,260
3704,28,14,32,121,160
3705,29,11,28,110,168
3706,30,11,27,112,200
3707,31,10,25,114,198
3708,27,13,32,172,314
3709,30,13,29,131,152
3710,31,10,25,134,234
3711,28,13,31,147,276
3712,29,12,29,128,212
3713,30,13,29,154,214
3714,28,14,32,152,202
3715,29,15,32,156,174
3716,31,9,24,128,222
3717,30,11,27,95,146
3718,29,13,30,136,178
3719,28,12,30,115,210
3720,30,13,29,130,160
3721,27,13,32,143,212
3722,30,11,27,126,186
3723,29,12,29,145,222
3724,29,13,30,97,134
3725,32,13,27,97,106
3726,28,14,32,119,158
3727,28,13,31,100,154
3728,27,12,31,140,274
3729,29,13,30,131,170
3730,30,12,28,138,192
3731,27,13,32,120,188
3732,27,13,32,148,276
3733,28,12,30,114,192
3734,29,14,31,161,230
3735,23,14,37,153,274
3736,30,12,28,125,176
3737,26,15,35,173,262
3738,30,10,26,97,164
3739,27,14,33,141,228
3740,26,13,33,126,240
3741,30,11,27,128,252
3742,29,13,30,124,178
3743,28,12,30,183,306
3744,32,10,24,80,116
3745,27,12,31,113,182
3746,28,12,30,157,244
3747,27,13,32,141,338
3748,31,12,27,105,132
3749,26,14,34,117,182
3750,30,8,24,71,142
3751,29,12,29,117,208
3752,31,12,27,124,154
3753,29,14,31,158,224
3754,30,13,29,108,130
3755,29,13,30,159,228
3756,32,12,26,102,138
3757,29,12,29,163,316
3758,28,14,32,133,184
3759,30,13,29,133,178
3760,29,13,30,137,188
3761,29,13,30,140,176
